radius   F-density   energy/atom   number/atom   stress
7 0.369279041022 0.369104 0.124856 3.35405
8 0.256611460743 0.0827487 0.0308949 0.46447
9 0.145003939171 0.00153581 0.00401062 0.828037
10 0.153579945433 0.141855 0.0472428 2.47522
11 0.182460013014 0.147842 0.0486032 3.23482
12 0.128910854011 0.0448543 0.0140871 1.51742
13 0.146413796565 0.158557 0.0502525 3.28474
14 0.0953713567064 0.066298 0.0240719 0.115923
15 0.107619124184 0.131275 0.0464728 2.66178
16 0.0914279672431 0.0267172 0.0091032 0.435458
17 0.0970084239552 0.0901816 0.0304828 2.0676
18 0.0908912597609 0.0395404 0.013385 1.33025
19 0.0583941448636 0.0318826 0.00976157 0.961314
20 0.0454594402603 0.0195083 0.00493558 0.655943
21 0.0581032114767 0.0436997 0.0145303 0.72752
22 0.0681917511246 0.0813863 0.0287834 1.50404
23 0.0452490568538 0.017157 0.00565139 0.220278
24 0.0381538546545 0.0304889 0.0105266 0.55768
25 0.0236284928106 0.024665 0.00679712 0.382371
26 0.0143054707894 0.00643116 0.00134249 0.0979503
27 0.0279349735407 0.035441 0.0106486 0.689394
28 0.016900450272 0.00040316 0.000481846 0.0610063
29 0.020678670066 0.0142147 0.00614828 0.351325
30 0.0199822863526 0.0198732 0.00617876 0.264704
31 0.0244400568535 0.0218395 0.0068742 0.337041
32 0.0307819119441 0.0359317 0.0112465 0.737063
33 0.0224790793253 0.00518565 0.00206102 0.214303
34 0.0151588059278 0.0147522 0.00393733 0.349751
35 0.0201000913761 0.00177657 0.00016587 0.0306556
36 0.0223190214535 0.00992487 0.00291903 0.11232
37 0.0262700463129 0.0238633 0.00734551 0.509511
38 0.0209837458148 3.28126e-05 0.000447903 0.0415255
39 0.018839704075 0.0152599 0.00438484 0.29227
40 0.0118625338721 0.00736721 0.00205204 0.212919
41 0.018181536958 0.0047218 0.00202428 0.183153
42 0.0192719550903 0.0150828 0.00452247 0.366649
43 0.0187438784649 0.00660789 0.00271772 0.17275
44 0.0158189534691 0.0118758 0.00329703 0.265809
45 0.00506279880233 0.00170507 0.000118524 0.0287682
46 0.0133088092829 0.0114783 0.00446982 0.226383
47 0.00912974164267 0.00282634 0.000427666 0.0370218
48 0.0172190963411 0.00938413 0.00373396 0.248776
49 0.0108157569931 0.00710779 0.00184806 0.145382
50 0.0104612297421 0.00169495 0.00110916 0.0710746
51 0.00765003263247 0.00414974 0.00207696 0.113069
52 0.00474363486935 0.0019668 0.00012357 0.0287266
53 0.0094597026694 0.00722552 0.00309026 0.16723
54 0.00702405644452 0.0062408 0.00156614 0.147221
55 0.0115713046593 0.00661048 0.00282243 0.161142
56 0.00363295419647 0.00343069 0.000444737 0.0679482
57 0.00482598297552 0.000593082 0.000344798 0.0344237
58 0.00366341297788 0.00153461 0.00124585 0.0491506
59 0.00376472064483 0.00425512 0.000911441 0.0713661
60 0.00827971552503 0.00428437 0.0020736 0.12193
