# T   E_F(TB)   E(TB)                 E(VASP)
 0.03 2.975    -4.7380516483953441   -4.7093492725
 0.1  2.976    -4.7336070122072851   -4.70501814
 0.2  2.980    -4.7196686487566373   -4.69050647
 0.3  2.997    -4.6891608113267038   -4.66005560
 0.4  3.052    -4.6303704326234518   -4.60095687
 0.5  3.144    -4.5377421704110166   -4.51161063
 0.6  3.264    -4.4148395150947923   -4.39649745
 0.7  3.402    -4.2659612311677577   -4.26021164
 0.8  3.547    -4.0983839111322604   -4.10593833
 0.9  3.698    -3.9103758093634893   -3.93560872
 1.0  3.852    -3.7025866661146440   -3.75025951
 1.1  4.006    -3.4760271745560289   -3.55036408
 1.2  4.158    -3.2309673873962743   -3.33609000
 1.3  4.307    -2.9656643682665900   -3.10747768
 1.4  4.453    -2.6821493401849956   -2.86454272
 1.5  4.595    -2.3767638077551836   -2.60732513
 1.6  4.733    -2.0496410740384183   -2.33591205
 1.7  4.866    -1.7013710431628535   -2.05043696
 1.8  4.994    -1.3316570866885409   -1.75107927
 1.9  5.117    -0.9390800648185934   -1.43805736
 2.0  5.236    -0.5270785908061707   -1.11162378
 2.1  5.349    -0.0951107319400177   -0.77206474
 2.2  5.459     0.3589551589559005   -0.41968782
 2.3  5.563     0.8285734883612299   -0.05482498
 2.4  5.663     1.3171587785255423    0.32218063
 2.5  5.760     1.8191389869588357    0.71097914
 2.6  5.852     2.3341717748668116    1.11121135
 2.7  5.940     2.8620688758468256    1.52252374
 2.8  6.026     3.3986081011994052    1.94456581
 2.9  6.108     3.9436420966349579    2.37699736
 3.0  6.187     4.4950525022124577    2.81949047
